Date,Price,Open,High,Low,Volume,Change %,Vol.
5/18/2024,0.00101,0.001013,0.001046,0.000966,2110000000,-0.30%,2.11B
5/19/2024,0.001013,0.00098,0.00106,0.00096,3150000000,3.37%,3.15B
5/20/2024,0.00098,0.00104,0.001055,0.000932,3180000000,-5.77%,3.18B
5/21/2024,0.00104,0.001069,0.001083,0.00102,3870000000,-2.71%,3.87B
5/22/2024,0.001069,0.001052,0.001079,0.001038,2570000000,1.62%,2.57B
5/23/2024,0.001052,0.001066,0.00109,0.000981,3210000000,-1.31%,3.21B
5/24/2024,0.001066,0.001151,0.001155,0.001056,16310000000,-7.38%,16.31B
5/25/2024,0.001151,0.00108,0.001169,0.00103,6030000000,6.57%,6.03B
5/26/2024,0.00108,0.001067,0.0011,0.00099,1190000000,1.22%,1.19B
5/27/2024,0.001067,0.00102,0.001116,0.001009,1170000000,4.61%,1.17B
5/28/2024,0.00102,0.001051,0.001087,0.000984,1460000000,-2.95%,1.46B
5/29/2024,0.001051,0.001036,0.001091,0.00103,1200000000,1.45%,1.20B
5/30/2024,0.001036,0.000999,0.00105,0.000988,1130000000,3.70%,1.13B
5/31/2024,0.000999,0.000976,0.001027,0.000956,903600000,2.36%,903.60M
6/1/2024,0.000976,0.00106,0.00106,0.000961,669530000,-7.92%,669.53M
6/2/2024,0.00106,0.001042,0.001071,0.001035,62110000,1.73%,62.11M
6/3/2024,0.001042,0.001024,0.001048,0.000999,505050000,1.76%,505.05M
6/4/2024,0.001024,0.001007,0.001046,0.000979,1230000000,1.69%,1.23B
6/5/2024,0.001007,0.001014,0.001033,0.000958,1030000000,-0.69%,1.03B
